ลำดับ,หน่วยงาน,ชื่อหน่วยงาน,จังหวัด,ชื่อแหล่งท่องเที่ยว,latitude,longitude,เปิดตลอดปี,วันที่เริ่มปิด,วันที่สิ้นสุดการปิด,สาเหตุการปิด,หมายเหตุ,,,,,,,,,,,,,,
103,อุทยานแห่งชาติ,หมู่เกาะช้าง,ตราด,เกาะทองหลาง,,,ไม่ใช่,,,ปิดไม่มีกำหนด,,,,,,,,,,,,,,,
104,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,เขาแหลมหญ้า,12.587483,101.420025,ใช่,,,,,,,,,,,,,,,,,,
105,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,เกาะเสม็ด,12.573988,101.463315,ใช่,,,,,,,,,,,,,,,,,,
106,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,เกาะทะลุ,12.557891,101.569075,ไม่ใช่,16-ส.ค.,30-ก.ย.,ฟื้นฟูทรัพยากรและปรับปรุงสิ่งอำนวยความ,,,,,,,,,,,,,,,
107,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,เกาะกุฏี,12.585418,101.509263,ไม่ใช่,1-ก.ค.,15-ส.ค.,สะดวก,,,,,,,,,,,,,,,
108,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,หาดแม่รำพึง,12.610867,101.384166,ใช่,,,,,,,,,,,,,,,,,,
109,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,อ่าวลูกโยน,12.573303,101.465337,ใช่,,,,,,,,,,,,,,,,,,
110,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,หาดทรายแก้ว,12.565933,101.461824,ใช่,,,,,,,,,,,,,,,,,,
111,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,อ่าววงเดือน,12.554277,101.450309,ใช่,,,,,,,,,,,,,,,,,,
112,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,อ่าวพร้าว,12.568264,101.449119,ใช่,,,,,,,,,,,,,,,,,,
113,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,อ่าวปะการัง,12.522801,101.444406,ใช่,,,,,,,,,,,,,,,,,,
114,อุทยานแห่งชาติ,เขาแหลมหญ้า-หมู่เกาะเสม็ด,ระยอง,บ้านโซนที่ 1 โซนที่ทำการอุทยานแห่งชาติ อยู่บนฝั่ง บริเวณเขาแหลมหญ้า,12.58974,101.419976,ใช่,,,,,,,,,,,,,,,,,,
